# slot_index,mcs,tbs_bytes,needs_retx,retx_count,harq_id
230,4,233,0,0,8
231,4,233,0,0,7
232,4,233,0,0,8
233,2,145,0,0,7
234,2,145,0,0,8
235,2,145,0,0,7
236,2,145,0,0,8
237,2,145,0,0,7
238,2,145,0,0,8
239,2,145,0,0,7
240,2,145,0,0,8
241,4,233,0,0,7
242,4,233,0,0,8
243,6,333,0,0,7
244,6,333,0,0,8
245,6,333,0,0,7
246,6,333,0,0,8
247,6,333,0,0,7
248,6,333,0,0,8
249,2,145,0,0,7
250,2,145,0,0,8
251,2,145,0,0,6
252,2,145,0,0,8
253,4,233,0,0,6
254,4,233,0,0,8
255,2,145,0,0,6
256,2,145,0,0,8
257,4,233,0,0,6
258,4,233,0,0,8
259,6,333,0,0,6
260,6,333,0,0,8
261,6,333,0,0,6
262,6,333,0,0,8
263,9,504,0,0,6
264,9,504,0,0,8
265,6,333,0,0,6
266,11,116,0,0,3
267,4,233,0,0,6
268,9,20,0,0,3
269,9,504,0,0,6
270,9,504,0,0,8
271,9,504,0,0,6
272,9,504,0,0,8
273,6,333,0,0,6
274,6,333,0,0,8
275,11,560,0,0,6
276,11,560,0,0,8
277,4,233,0,0,6
278,5,285,0,0,8
279,9,504,0,0,6
280,9,504,0,0,8
281,9,504,0,0,6
282,9,504,0,0,8
283,12,640,0,0,6
284,12,640,0,0,8
285,6,333,0,0,6
286,6,333,0,0,8
287,9,504,0,0,6
288,9,504,0,0,8
289,9,504,0,0,6
290,9,504,0,0,8
291,4,233,0,0,6
292,4,233,0,0,8
293,6,333,0,0,6
294,7,405,0,0,8
295,7,405,0,0,6
296,7,405,0,0,8
297,7,405,0,0,6
298,7,405,0,0,8
299,7,405,0,0,6
300,7,405,0,0,8
301,7,405,0,0,6
302,7,405,0,0,8
303,7,405,0,0,6
304,7,405,0,0,8
305,12,640,0,0,6
306,12,640,0,0,8
307,9,504,0,0,6
308,9,504,0,0,8
309,7,405,0,0,6
310,7,405,0,0,8
311,7,405,0,0,6
312,7,405,0,0,8
313,7,405,0,0,6
314,7,405,0,0,8
